mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,15347895,0.0,-0.01,0.01,153479
2019-04-02 06:00:00,15347895,-0.01,-0.03,0.02,306958
2019-07-02 12:00:00,15347895,-0.01,-0.05,0.04,613916
2019-10-01 18:00:00,15347895,-0.03,-0.04,0.01,153479
2020-01-01 00:00:00,15347895,-0.03,-0.01,-0.02,-306958
2020-04-01 12:00:00,15347895,0.0,0.01,-0.01,-153479
2020-07-02 00:00:00,15347895,0.04,0.0,0.04,613916
2020-10-01 12:00:00,15347895,0.06,0.02,0.04,613916
2021-01-01 00:00:00,15347895,0.02,0.02,0.0,0
2021-04-02 06:00:00,15347895,-0.01,-0.0,-0.01,-153479
2021-07-02 12:00:00,15347895,-0.02,-0.01,-0.01,-153479
