mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,268093316.15521663,0.04,0.0,0.04,10723733.0,2019-01-01,2019-01-01 00:00:00,268093316.15521663,0.04,0.0,0.04,10723733.0,Cook_E2
2019-04-02 13:30:00,268093316.15521663,0.09,0.07,0.02,5361866.0,2019-04-02,2019-04-02 06:00:00,268093316.15521663,0.1,0.01,0.09,24128398.0,Cook_E2
2019-07-02 21:00:00,268093316.15521663,-0.0,-0.05,0.05,13404666.0,2019-07-02,2019-07-02 12:00:00,268093316.15521663,0.08,0.02,0.06,16085599.0,Cook_E2
2019-10-02 04:30:00,268093316.15521663,0.09,-0.02,0.11,29490265.0,2019-10-02,2019-10-01 18:00:00,268093316.15521663,0.04,0.02,0.02,5361866.0,Cook_E2
2020-01-01 12:00:00,268093316.15521663,-0.03,-0.07,0.04,10723733.0,2020-01-01,2020-01-01 00:00:00,268093316.15521663,0.02,0.0,0.02,5361866.0,Cook_E2
2020-04-01 19:30:00,268093316.15521663,0.13,0.06,0.07,18766532.0,2020-04-01,2020-04-01 12:00:00,268093316.15521663,0.05,-0.02,0.07,18766532.0,Cook_E2
2020-07-02 03:00:00,268093316.15521663,0.0,-0.06,0.06,16085599.0,2020-07-02,2020-07-02 00:00:00,268093316.15521663,0.06,-0.03,0.09,24128398.0,Cook_E2
2020-10-01 10:30:00,268093316.15521663,0.05,-0.02,0.07,18766532.0,2020-10-01,2020-10-01 12:00:00,268093316.15521663,0.06,-0.01,0.07,18766532.0,Cook_E2
2020-12-31 18:00:00,268093316.15521663,0.04,-0.01,0.05,13404666.0,2020-12-31,2021-01-01 00:00:00,268093316.15521663,0.04,-0.0,0.04,10723733.0,Cook_E2
2021-04-02 01:30:00,268093316.15521663,0.05,-0.01,0.06,16085599.0,2021-04-02,2021-04-02 06:00:00,268093316.15521663,0.03,-0.0,0.03,8042799.0,Cook_E2
2021-07-02 09:00:00,268093316.15521663,0.03,-0.03,0.06,16085599.0,2021-07-02,2021-07-02 12:00:00,268093316.15521663,0.02,-0.0,0.02,5361866.0,Cook_E2
