mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,114855395.57182503,0.05,0.02,0.03,3445662.0
2019-04-02 06:00:00,114855395.57182503,0.08,0.05,0.03,3445662.0
2019-07-02 12:00:00,114855395.57182503,0.03,0.02,0.01,1148554.0
2019-10-01 18:00:00,114855395.57182503,0.06,0.02,0.04,4594216.0
2020-01-01 00:00:00,114855395.57182503,0.08,0.01,0.07,8039878.0
2020-04-01 12:00:00,114855395.57182503,0.04,0.0,0.04,4594216.0
2020-07-02 00:00:00,114855395.57182503,-0.04,-0.0,-0.04,-4594216.0
2020-10-01 12:00:00,114855395.57182503,-0.0,-0.02,0.02,2297108.0
2021-01-01 00:00:00,114855395.57182503,0.06,-0.0,0.06,6891324.0
2021-04-02 06:00:00,114855395.57182503,0.04,0.01,0.03,3445662.0
2021-07-02 12:00:00,114855395.57182503,0.03,0.0,0.03,3445662.0
