mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-01-01 00:00:00,,,0.01,,
2019-04-02 06:00:00,,,0.03,,
2019-07-02 12:00:00,,,0.01,,
2019-10-01 18:00:00,,,0.01,,
2020-01-01 00:00:00,5742007.0,0.24,0.06,0.18000000715255737,1033561.0
2020-04-01 12:00:00,,,0.08,,
2020-07-02 00:00:00,,,0.06,,
2020-10-01 12:00:00,,,0.05,,
2021-01-01 00:00:00,,,0.02,,
2021-04-02 06:00:00,,,0.03,,
2021-07-02 12:00:00,,,0.03,,
