mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-04-02 13:30:00,320755667.77884173,0.06,0.0,0.06,19245340.0
2019-07-02 21:00:00,320755667.77884173,-0.06,-0.1,0.04,12830227.0
2019-10-02 04:30:00,320755667.77884173,0.07,0.05,0.02,6415113.0
2020-01-01 12:00:00,320755667.77884173,0.06,0.01,0.05,16037783.0
2020-04-01 19:30:00,320755667.77884173,-0.01,-0.04,0.03,9622670.0
2020-07-02 03:00:00,320755667.77884173,-0.04,-0.06,0.02,6415113.0
2020-10-01 10:30:00,320755667.77884173,-0.01,-0.03,0.02,6415113.0
2020-12-31 18:00:00,320755667.77884173,0.09,0.06,0.03,9622670.0
2021-04-02 01:30:00,320755667.77884173,-0.01,-0.05,0.04,12830227.0
2021-07-02 09:00:00,320755667.77884173,-0.04,-0.06,0.02,6415113.0
2021-10-01 16:30:00,320755667.77884173,0.13,0.1,0.03,9622670.0
2022-01-01 00:00:00,320755667.77884173,-0.06,-0.06,0.0,0.0
2022-04-02 07:30:00,320755667.77884173,-0.04,-0.07,0.03,9622670.0
2022-07-02 15:00:00,320755667.77884173,-0.03,-0.03,0.0,0.0
2022-10-01 22:30:00,320755667.77884173,0.05,0.06,-0.01,-3207557.0
2023-01-01 06:00:00,320755667.77884173,0.14,0.14,0.0,0.0
2023-04-02 13:30:00,320755667.77884173,0.03,0.01,0.02,6415113.0
2023-07-02 21:00:00,320755667.77884173,0.01,0.0,0.01,3207557.0
2023-10-02 04:30:00,320755667.77884173,-0.01,-0.0,-0.01,-3207557.0
2024-01-01 12:00:00,320755667.77884173,0.01,-0.01,0.02,6415113.0
2024-04-01 19:30:00,320755667.77884173,-0.04,-0.04,0.0,0.0
2024-07-02 03:00:00,320755667.77884173,-0.08,-0.07,-0.01,-3207557.0
2024-10-01 10:30:00,320755667.77884173,0.1,0.13,-0.03,-9622670.0
2024-12-31 18:00:00,320755667.77884173,-0.03,-0.03,0.0,0.0
