midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-05-18 05:15:00,60056825,0.21,0.2,0.01,600568
2019-08-17 12:45:00,60056825,0.1,0.07,0.03,1801705
2019-11-16 20:15:00,60056825,0.16,0.14,0.02,1201137
2020-02-16 03:45:00,60056825,0.02,0.04,-0.02,-1201137
2020-05-17 11:15:00,60056825,0.06,0.07,-0.01,-600568
2020-08-16 18:45:00,60056825,0.15,0.15,0.0,0
2020-11-16 02:15:00,60056825,0.11,0.1,0.01,600568
2021-02-15 09:45:00,60056825,0.07,0.04,0.03,1801705
2021-05-17 17:15:00,60056825,0.03,0.01,0.02,1201137
2021-08-17 00:45:00,60056825,0.21,0.19,0.02,1201137
2021-11-16 08:15:00,60056825,0.04,0.04,0.0,0
2022-02-15 15:45:00,60056825,-0.03,-0.02,-0.01,-600568
2022-05-17 23:15:00,60056825,0.01,0.03,-0.02,-1201137
2022-08-17 06:45:00,60056825,0.08,0.1,-0.02,-1201137
2022-11-16 14:15:00,60056825,-0.0,0.07,-0.07,-4203978
2023-02-15 21:45:00,60056825,-0.08,-0.04,-0.04,-2402273
2023-05-18 05:15:00,60056825,0.05,0.06,-0.01,-600568
2023-08-17 12:45:00,60056825,0.08,0.09,-0.01,-600568
2023-11-16 20:15:00,60056825,0.19,0.19,0.0,0
2024-02-16 03:45:00,60056825,-0.07,-0.06,-0.01,-600568
2024-05-17 11:15:00,60056825,0.15,0.14,0.01,600568
2024-08-16 18:45:00,60056825,0.32,0.29,0.03,1801705
2024-11-16 02:15:00,60056825,0.04,-0.02,0.06,3603410
