mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,959920029.875884,0.03,0.02,0.01,9599200.0
2019-04-02 06:00:00,959920029.875884,0.02,0.03,-0.01,-9599200.0
2019-07-02 12:00:00,959920029.875884,0.02,0.02,0.0,0.0
2019-10-01 18:00:00,959920029.875884,-0.0,0.01,-0.01,-9599200.0
2020-01-01 00:00:00,959920029.875884,-0.0,-0.0,0.0,0.0
2020-04-01 12:00:00,959920029.875884,0.01,-0.01,0.02,19198401.0
2020-07-02 00:00:00,959920029.875884,0.01,-0.02,0.03,28797601.0
2020-10-01 12:00:00,959920029.875884,0.0,-0.03,0.03,28797601.0
2021-01-01 00:00:00,959920029.875884,-0.01,-0.04,0.03,28797601.0
2021-04-02 06:00:00,959920029.875884,-0.01,-0.04,0.03,28797601.0
2021-07-02 12:00:00,959920029.875884,-0.01,-0.03,0.02,19198401.0
