mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,226883207,-0.03,-0.02,-0.01,-2268832
2019-04-02 06:00:00,226883207,-0.05,-0.02,-0.03,-6806496
2019-07-02 12:00:00,226883207,-0.06,-0.02,-0.04,-9075328
2019-10-01 18:00:00,226883207,-0.04,-0.01,-0.03,-6806496
2020-01-01 00:00:00,226883207,-0.01,-0.02,0.01,2268832
2020-04-01 12:00:00,226883207,-0.04,-0.03,-0.01,-2268832
2020-07-02 00:00:00,226883207,-0.07,-0.05,-0.02,-4537664
2020-10-01 12:00:00,226883207,-0.1,-0.06,-0.04,-9075328
2021-01-01 00:00:00,226883207,-0.1,-0.08,-0.02,-4537664
2021-04-02 06:00:00,226883207,-0.1,-0.06,-0.04,-9075328
2021-07-02 12:00:00,226883207,-0.09,-0.06,-0.03,-6806496
