mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,14635873.0,0.32,0.27,0.05,731794.0
2019-07-02 21:00:00,14635873.0,0.12,0.09,0.03,439076.0
2019-10-02 04:30:00,14635873.0,0.24,0.22,0.02,292717.0
2020-01-01 12:00:00,14635873.0,0.13,0.09,0.04,585435.0
2020-04-01 19:30:00,14635873.0,0.13,0.13,0.0,0.0
2020-07-02 03:00:00,14635873.0,0.18,0.15,0.03,439076.0
2020-10-01 10:30:00,14635873.0,0.16,0.15,0.01,146359.0
2020-12-31 18:00:00,14635873.0,0.1,0.08,0.02,292717.0
2021-04-02 01:30:00,14635873.0,0.13,0.09,0.04,585435.0
2021-07-02 09:00:00,14635873.0,0.2,0.19,0.01,146359.0
2021-10-01 16:30:00,14635873.0,0.13,0.12,0.01,146359.0
2022-01-01 00:00:00,14635873.0,0.01,-0.0,0.01,146359.0
2022-04-02 07:30:00,14635873.0,0.09,0.07,0.02,292717.0
2022-07-02 15:00:00,14635873.0,0.16,0.16,0.0,0.0
2022-10-01 22:30:00,14635873.0,0.11,0.1,0.01,146359.0
2023-01-01 06:00:00,14635873.0,0.03,0.03,0.0,0.0
2023-04-02 13:30:00,14635873.0,0.13,0.12,0.01,146359.0
2023-07-02 21:00:00,1670766.0,0.34,0.15,0.19,317446.0
2023-10-02 04:30:00,23960980.0,0.34,0.25,0.09,2156488.0
2024-01-01 12:00:00,23960980.0,0.08,0.02,0.06,1437659.0
2024-04-01 19:30:00,23960980.0,0.23,0.17,0.06,1437659.0
2024-07-02 03:00:00,21097316.0,0.33,0.25,0.08,1687785.0
2024-10-01 10:30:00,21097316.0,0.16,0.14,0.02,421946.0
2024-12-31 18:00:00,21097316.0,0.13,0.09,0.04,843893.0
